Date, Close/Last, Volume, Open, High, Low
07/06/2015,$135.88,2450379,$135.15,$136.84,$135.06
07/02/2015,$136.39,1149089,$137,$137.20,$136.28
07/01/2015,$136.49,1707124,$135.79,$136.57,$135.54
06/30/2015,$135.06,2453847,$136.38,$136.71,$134.73
06/29/2015,$135.69,1961640,$137.01,$137.82,$135.66
06/26/2015,$138.06,2248678,$137.94,$138.64,$137.53
06/25/2015,$137.45,1660584,$138.45,$139.91,$137.42
06/24/2015,$138.34,1965857,$139.34,$139.86,$138.28
06/23/2015,$139.65,1489350,$140.44,$140.90,$139.53
06/22/2015,$140.19,1415497,$140.84,$141.17,$140.08
06/19/2015,$140.30,2757750,$140.59,$141.48,$140.18
06/18/2015,$140.50,2074140,$139.49,$141.10,$139.22
06/17/2015,$138.88,1508026,$137.94,$139.32,$137.88
06/16/2015,$137.98,1554190,$137.20,$138.24,$137.15
06/15/2015,$137.23,1940535,$137.94,$138.32,$137.15
06/12/2015,$138.78,1289498,$139.06,$139.30,$138.51
06/11/2015,$139.32,1342315,$139.64,$140.47,$139.19
06/10/2015,$139.43,1725592,$138.32,$139.94,$138.26
06/09/2015,$138.04,2037923,$137.92,$138.76,$137.81
06/08/2015,$138.05,1879339,$138.91,$138.91,$138.02
06/05/2015,$138.78,3202715,$140.74,$140.81,$138.74
06/04/2015,$140.65,2883691,$141.37,$142.50,$140.33
06/03/2015,$142.13,1858246,$141.67,$142.51,$141.18
